Model Category,Model,ModelAbv,Variant,Parameter Name,Parameter Type,Description,Prior Distribution,Default Prior Distribution,AgentClass,SHORTCODE,FittingExtras,OptimizationAlgorithm,FitDir,RPE,Forgetting,Future Discounting,Perseverance,On-Policy
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,e-greedy,theta_h,policy,Habit scaling factor,Beta,"Beta(1,1)",HCQLearner_egreedy,HCQE,None,NUTS,None,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,e-greedy,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",HCQLearner_egreedy,HCQE,None,NUTS,None,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,softmax,alpha_r,learningrule,Reward Learning Rate,Beta,"Beta(1,1)",HCQLearner_softmax,HCQS,None,NUTS,None,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,softmax,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",HCQLearner_softmax,HCQS,None,NUTS,None,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,softmax,alpha_h,learningrule,Habit Learning Rate,Beta,"Beta(1,1)",HCQLearner_softmax,HCQS,None,NUTS,None,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,softmax,weight_r,learningrule,Reward weightage,Beta,"Beta(1,1)",HCQLearner_softmax,HCQS,None,NUTS,None,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,softmax,weight_h,learningrule,Habit weightage,Beta,"Beta(1,1)",HCQLearner_softmax,HCQS,None,NUTS,None,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,softmax,weight_b,learningrule,Bias,Beta,"Beta(1,1)",HCQLearner_softmax,HCQS,None,NUTS,None,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,softmax,theta_r,policy,Reward scaling factor,Beta,"Beta(1,1)",HCQLearner_softmax,HCQS,None,NUTS,None,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,softmax,theta_h,policy,Habit scaling factor,Beta,"Beta(1,1)",HCQLearner_softmax,HCQS,None,NUTS,None,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,softmax,beta,policy,Softmax Temperature,HalfNormal,HalfNormal(1),HCQLearner_softmax,HCQS,None,NUTS,None,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,e-softmax,alpha_r,learningrule,Reward Learning Rate,Beta,"Beta(1,1)",HCQLearner_esoftmax,HCQES,None,NUTS,modelfits/HCQES_2022_03_14_11_23_44.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,e-softmax,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",HCQLearner_esoftmax,HCQES,None,NUTS,modelfits/HCQES_2022_03_14_11_23_44.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,e-softmax,alpha_h,learningrule,Habit Learning Rate,Beta,"Beta(1,1)",HCQLearner_esoftmax,HCQES,None,NUTS,modelfits/HCQES_2022_03_14_11_23_44.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,e-softmax,weight_r,learningrule,Reward weightage,Beta,"Beta(1,1)",HCQLearner_esoftmax,HCQES,None,NUTS,modelfits/HCQES_2022_03_14_11_23_44.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,e-softmax,weight_h,learningrule,Habit weightage,Beta,"Beta(1,1)",HCQLearner_esoftmax,HCQES,None,NUTS,modelfits/HCQES_2022_03_14_11_23_44.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,e-softmax,weight_b,learningrule,Bias,Beta,"Beta(1,1)",HCQLearner_esoftmax,HCQES,None,NUTS,modelfits/HCQES_2022_03_14_11_23_44.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,e-softmax,theta_r,policy,Reward scaling factor,Beta,"Beta(1,1)",HCQLearner_esoftmax,HCQES,None,NUTS,modelfits/HCQES_2022_03_14_11_23_44.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,e-softmax,theta_h,policy,Habit scaling factor,Beta,"Beta(1,1)",HCQLearner_esoftmax,HCQES,None,NUTS,modelfits/HCQES_2022_03_14_11_23_44.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,e-softmax,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",HCQLearner_esoftmax,HCQES,None,NUTS,modelfits/HCQES_2022_03_14_11_23_44.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,e-softmax,beta,policy,Softmax Temperature,HalfNormal,HalfNormal(1),HCQLearner_esoftmax,HCQES,None,NUTS,modelfits/HCQES_2022_03_14_11_23_44.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,acceptreject,alpha_r,learningrule,Reward Learning Rate,Beta,"Beta(1,1)",HCQLearner_acceptreject,HCQBR,None,NUTS,modelfits/acceptreject/HCQBR_2022_04_11_16_15_56.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,acceptreject,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",HCQLearner_acceptreject,HCQBR,None,NUTS,modelfits/acceptreject/HCQBR_2022_04_11_16_15_56.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,acceptreject,alpha_h,learningrule,Habit Learning Rate,Beta,"Beta(1,1)",HCQLearner_acceptreject,HCQBR,None,NUTS,modelfits/acceptreject/HCQBR_2022_04_11_16_15_56.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,acceptreject,weight_r,learningrule,Reward weightage,Beta,"Beta(1,1)",HCQLearner_acceptreject,HCQBR,None,NUTS,modelfits/acceptreject/HCQBR_2022_04_11_16_15_56.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,acceptreject,weight_h,learningrule,Habit weightage,Beta,"Beta(1,1)",HCQLearner_acceptreject,HCQBR,None,NUTS,modelfits/acceptreject/HCQBR_2022_04_11_16_15_56.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,acceptreject,weight_b,learningrule,Bias,Beta,"Beta(1,1)",HCQLearner_acceptreject,HCQBR,None,NUTS,modelfits/acceptreject/HCQBR_2022_04_11_16_15_56.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,acceptreject,theta_r,policy,Reward scaling factor,Beta,"Beta(1,1)",HCQLearner_acceptreject,HCQBR,None,NUTS,modelfits/acceptreject/HCQBR_2022_04_11_16_15_56.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,acceptreject,theta_h,policy,Habit scaling factor,Beta,"Beta(1,1)",HCQLearner_acceptreject,HCQBR,None,NUTS,modelfits/acceptreject/HCQBR_2022_04_11_16_15_56.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,acceptreject,weight,policy,Q-value weight,Normal,"Normal(0,1)",HCQLearner_acceptreject,HCQBR,None,NUTS,modelfits/acceptreject/HCQBR_2022_04_11_16_15_56.nc,+,-,+,+,-
Value-Based RL,Long-Term Habit-Value Arbiter Q-Learning,LT-HV-QL,acceptreject,intercept,policy,Q-value intercept,Normal,"Normal(0,1)",HCQLearner_acceptreject,HCQBR,None,NUTS,modelfits/acceptreject/HCQBR_2022_04_11_16_15_56.nc,+,-,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-greedy,alpha_r,learningrule,Reward Learning Rate,Beta,"Beta(1,1)",FHCQLearner_egreedy,FHCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-greedy,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",FHCQLearner_egreedy,FHCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-greedy,alpha_h,learningrule,Habit Learning Rate,Beta,"Beta(1,1)",FHCQLearner_egreedy,FHCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-greedy,weight_r,learningrule,Reward weightage,Beta,"Beta(1,1)",FHCQLearner_egreedy,FHCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-greedy,weight_h,learningrule,Habit weightage,Beta,"Beta(1,1)",FHCQLearner_egreedy,FHCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-greedy,weight_b,learningrule,Bias,Beta,"Beta(1,1)",FHCQLearner_egreedy,FHCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-greedy,theta_r,policy,Reward scaling factor,Beta,"Beta(1,1)",FHCQLearner_egreedy,FHCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-greedy,theta_h,policy,Habit scaling factor,Beta,"Beta(1,1)",FHCQLearner_egreedy,FHCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-greedy,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",FHCQLearner_egreedy,FHCQE,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,softmax,alpha_r,learningrule,Reward Learning Rate,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQS,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,softmax,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQS,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,softmax,alpha_h,learningrule,Habit Learning Rate,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQS,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,softmax,weight_r,learningrule,Reward weightage,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQS,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,softmax,weight_h,learningrule,Habit weightage,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQS,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,softmax,weight_b,learningrule,Bias,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQS,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,softmax,theta_r,policy,Reward scaling factor,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQS,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,softmax,theta_h,policy,Habit scaling factor,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQS,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,softmax,beta,policy,Softmax Temperature,HalfNormal,HalfNormal(1),FHCQLearner_softmax,FHCQS,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-softmax,alpha_r,learningrule,Reward Learning Rate,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-softmax,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-softmax,alpha_h,learningrule,Habit Learning Rate,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-softmax,weight_r,learningrule,Reward weightage,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-softmax,weight_h,learningrule,Habit weightage,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-softmax,weight_b,learningrule,Bias,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-softmax,theta_r,policy,Reward scaling factor,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-softmax,theta_h,policy,Habit scaling factor,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-softmax,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",FHCQLearner_softmax,FHCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,e-softmax,beta,policy,Softmax Temperature,HalfNormal,HalfNormal(1),FHCQLearner_softmax,FHCQES,None,NUTS,None,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,acceptreject,alpha_r,learningrule,Reward Learning Rate,Beta,"Beta(1,1)",FHCQLearner_acceptreject,FHCQBR,None,NUTS,modelfits/acceptreject/FHCQBR_2022_04_22_22_09_23.nc,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,acceptreject,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",FHCQLearner_acceptreject,FHCQBR,None,NUTS,modelfits/acceptreject/FHCQBR_2022_04_22_22_09_23.nc,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,acceptreject,alpha_h,learningrule,Habit Learning Rate,Beta,"Beta(1,1)",FHCQLearner_acceptreject,FHCQBR,None,NUTS,modelfits/acceptreject/FHCQBR_2022_04_22_22_09_23.nc,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,acceptreject,weight_r,learningrule,Reward weightage,Beta,"Beta(1,1)",FHCQLearner_acceptreject,FHCQBR,None,NUTS,modelfits/acceptreject/FHCQBR_2022_04_22_22_09_23.nc,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,acceptreject,weight_h,learningrule,Habit weightage,Beta,"Beta(1,1)",FHCQLearner_acceptreject,FHCQBR,None,NUTS,modelfits/acceptreject/FHCQBR_2022_04_22_22_09_23.nc,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,acceptreject,weight_b,learningrule,Bias,Beta,"Beta(1,1)",FHCQLearner_acceptreject,FHCQBR,None,NUTS,modelfits/acceptreject/FHCQBR_2022_04_22_22_09_23.nc,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,acceptreject,theta_r,policy,Reward scaling factor,Beta,"Beta(1,1)",FHCQLearner_acceptreject,FHCQBR,None,NUTS,modelfits/acceptreject/FHCQBR_2022_04_22_22_09_23.nc,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,acceptreject,theta_h,policy,Habit scaling factor,Beta,"Beta(1,1)",FHCQLearner_acceptreject,FHCQBR,None,NUTS,modelfits/acceptreject/FHCQBR_2022_04_22_22_09_23.nc,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,acceptreject,weight,policy,Q-value weight,Normal,"Normal(0,1)",FHCQLearner_acceptreject,FHCQBR,None,NUTS,modelfits/acceptreject/FHCQBR_2022_04_22_22_09_23.nc,+,+,+,+,-
Value-Based RL,Forgetting Long-Term Habit-Value Arbiter Q-Learning,F-LT-HV-QL,acceptreject,intercept,policy,Q-value intercept,Normal,"Normal(0,1)",FHCQLearner_acceptreject,FHCQBR,None,NUTS,modelfits/acceptreject/FHCQBR_2022_04_22_22_09_23.nc,+,+,+,+,-
Value-Based RL,Double Q Learning,NA,e-greedy,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",DQLearner_egreedy,DQE,None,CG+NUTS,None,,,,,
Value-Based RL,Double Q Learning,NA,e-greedy,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",DQLearner_egreedy,DQE,None,CG+NUTS,None,,,,,
Value-Based RL,Double Q Learning,NA,e-greedy,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",DQLearner_egreedy,DQE,None,CG+NUTS,None,,,,,
Value-Based RL,Double Q Learning,NA,softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",DQLearner_softmax,DQS,None,CG+NUTS,None,,,,,
Value-Based RL,Double Q Learning,NA,softmax,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",DQLearner_softmax,DQS,None,CG+NUTS,None,,,,,
Value-Based RL,Double Q Learning,NA,softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),DQLearner_softmax,DQS,None,CG+NUTS,None,,,,,
Value-Based RL,Double Q Learning,NA,e-softmax,alpha,learningrule,Learning Rate,Beta,"Beta(1,1)",DQLearner_esoftmax,DQES,None,CG+NUTS,modelfits/DQES_2022_02_13_15_17_58.nc,,,,,
Value-Based RL,Double Q Learning,NA,e-softmax,gamma,learningrule,Discount Rate,Beta,"Beta(1,1)",DQLearner_esoftmax,DQES,None,CG+NUTS,modelfits/DQES_2022_02_13_15_17_58.nc,,,,,
Value-Based RL,Double Q Learning,NA,e-softmax,beta,policy,Softmax Temperature,HalfNormal,Halfnormal(1),DQLearner_esoftmax,DQES,None,CG+NUTS,modelfits/DQES_2022_02_13_15_17_58.nc,,,,,
Value-Based RL,Double Q Learning,NA,e-softmax,epsilon,policy,Exploration Rate,Beta,"Beta(1,1)",DQLearner_esoftmax,DQES,None,CG+NUTS,modelfits/DQES_2022_02_13_15_17_58.nc,,,,,
Phenomenological,Bayesian Ideal Observer,NA,Beta-Bernoulli,value_weight,learningrule,Weights for Reward Means,Normal,"Normal(0,1)",BayesianIdealObserver,BBBIO,None,NUTS,None,,,,,
Phenomenological,Bayesian Ideal Observer,NA,Beta-Bernoulli,explore_weight,learningrule,Weights for Reward Variances,Normal,"Normal(0,1)",BayesianIdealObserver,BBBIO,None,NUTS,None,,,,,
Phenomenological,Bayesian Ideal Observer,NA,Beta-Bernoulli,bias_weight,learningrule,Bias in preference,Normal,"Normal(0,1)",BayesianIdealObserver,BBBIO,None,NUTS,None,,,,,
Phenomenological,Contingent Average Trend Inertia Exploration (CATIE),NA,K=1,tau,learningrule,P(Trend Mode),Beta,"Beta(1,1)",CATIELearner,CATIE1,fitAgent.K = 1,CMAES,None,,,,,
Phenomenological,Contingent Average Trend Inertia Exploration (CATIE),NA,K=1,epsilon,learningrule,Pmax(Explore),Beta,"Beta(1,1)",CATIELearner,CATIE1,fitAgent.K = 1,CMAES,None,,,,,
Phenomenological,Contingent Average Trend Inertia Exploration (CATIE),NA,K=1,phi,learningrule,P(Inertial Mode),Beta,"Beta(1,1)",CATIELearner,CATIE1,fitAgent.K = 1,CMAES,None,,,,,
Phenomenological,Contingent Average Trend Inertia Exploration (CATIE),NA,K=5,tau,learningrule,P(Trend Mode),Beta,"Beta(1,1)",CATIELearner,CATIE5,fitAgent.K = 5,CMAES,None,,,,,
Phenomenological,Contingent Average Trend Inertia Exploration (CATIE),NA,K=5,epsilon,learningrule,Pmax(Explore),Beta,"Beta(1,1)",CATIELearner,CATIE5,fitAgent.K = 5,CMAES,None,,,,,
Phenomenological,Contingent Average Trend Inertia Exploration (CATIE),NA,K=5,phi,learningrule,P(Inertial Mode),Beta,"Beta(1,1)",CATIELearner,CATIE5,fitAgent.K = 5,CMAES,None,,,,,
Phenomenological,Contingent Average Trend Inertia Exploration (CATIE),NA,K=10,tau,learningrule,P(Trend Mode),Beta,"Beta(1,1)",CATIELearner,CATIE10,fitAgent.K = 10,CMAES,None,,,,,
Phenomenological,Contingent Average Trend Inertia Exploration (CATIE),NA,K=10,epsilon,learningrule,Pmax(Explore),Beta,"Beta(1,1)",CATIELearner,CATIE10,fitAgent.K = 10,CMAES,None,,,,,
Phenomenological,Contingent Average Trend Inertia Exploration (CATIE),NA,K=10,phi,learningrule,P(Inertial Mode),Beta,"Beta(1,1)",CATIELearner,CATIE10,fitAgent.K = 10,CMAES,None,,,,,
Phenomenological,Exploitative Sampler,NA,K=1,epsilon,learningrule,Asymptotic Exploration Rate,Beta,"Beta(1,1)",ESLearner,ES1,fitAgent.K = 1,CMAES,None,,,,,
Phenomenological,Exploitative Sampler,NA,K=1,delta,learningrule,Sensitivity to Experiment Length,HalfNormal,Halfnormal(1.25),ESLearner,ES1,fitAgent.K = 1,CMAES,None,,,,,
Phenomenological,Exploitative Sampler,NA,K=1,w,learningrule,Weighting of the regressive term,Beta,"Beta(1,1)",ESLearner,ES1,fitAgent.K = 1,CMAES,None,,,,,
Phenomenological,Exploitative Sampler,NA,K=1,rho,learningrule,Diminishing sensitivity factor,HalfNormal,Halfnormal(1.25),ESLearner,ES1,fitAgent.K = 1,CMAES,None,,,,,
Phenomenological,Exploitative Sampler,NA,K=5,epsilon,learningrule,Asymptotic Exploration Rate,Beta,"Beta(1,1)",ESLearner,ES5,fitAgent.K = 5,CMAES,None,,,,,
Phenomenological,Exploitative Sampler,NA,K=5,delta,learningrule,Sensitivity to Experiment Length,HalfNormal,Halfnormal(1.25),ESLearner,ES5,fitAgent.K = 5,CMAES,None,,,,,
Phenomenological,Exploitative Sampler,NA,K=5,w,learningrule,Weighting of the regressive term,Beta,"Beta(1,1)",ESLearner,ES5,fitAgent.K = 5,CMAES,None,,,,,
Phenomenological,Exploitative Sampler,NA,K=5,rho,learningrule,Diminishing sensitivity factor,HalfNormal,Halfnormal(1.25),ESLearner,ES5,fitAgent.K = 5,CMAES,None,,,,,
